region,zone,woreda,school_name,admin_code,geometry,lat,lon
Oromia,Horroo Guduru Wallaggaa,Habaaboo Guduru,Lalistuu Looyyaa,S0408060182,POINT (37.519707 9.699308),9.699308,37.519707
Oromia,Horroo Guduru Wallaggaa,Habaaboo Guduru,Biqiltuu  Habaaboo,S0408060092,POINT (37.56619600000001 9.726925),9.726925,37.566196
Oromia,Horroo Guduru Wallaggaa,Habaaboo Guduru,Qawoo Sadarkaa 1ffaa,S0408060242,POINT (37.554028 9.825227),9.825227,37.554028
Oromia,Horroo Guduru Wallaggaa,Habaaboo Guduru,Bar Kumee Hamilee,S0408060102,POINT (37.53453 9.779868),9.779868,37.53453
Oromia,Horroo Guduru Wallaggaa,Habaaboo Guduru,Caalaa Fooqaa,S0408060192,POINT (37.551594 9.764167),9.764167,37.551594
Oromia,Horroo Guduru Wallaggaa,Habaaboo Guduru,Qanaatee Biyyaa,S0408060032,POINT (37.513466 9.63003),9.63003,37.513466
Oromia,Horroo Guduru Wallaggaa,Habaaboo Guduru,Illammuu Maloolee,S0408060052,POINT (37.53857 9.619977),9.619977,37.53857
Oromia,Horroo Guduru Wallaggaa,Habaaboo Guduru,Sirbaa,S0408060072,POINT (37.49325 9.648910000000001),9.64891,37.49325
Oromia,Horroo Guduru Wallaggaa,Habaaboo Guduru,Guddannee Daduu,S0408060162,POINT (37.53014 9.659191999999999),9.659192,37.53014
Oromia,Horroo Guduru Wallaggaa,Habaaboo Guduru,Tarkaanfataa Ginnoo,S0408060212,POINT (37.509026 9.793613000000001),9.793613,37.509026
Oromia,Horroo Guduru Wallaggaa,Habaaboo Guduru,Icaaraa,S0408060132,POINT (37.5945 9.86271),9.86271,37.5945
Oromia,Horroo Guduru Wallaggaa,Habaaboo Guduru,Dambii,S0408060152,POINT (37.455 9.8992),9.8992,37.455
Oromia,Horroo Guduru Wallaggaa,Habaaboo Guduru,Waabii,S0408060042,POINT (37.5897 9.73352),9.73352,37.5897
Oromia,Horroo Guduru Wallaggaa,Habaaboo Guduru,Koonoo,S0408060142,POINT (37.4379 9.855320000000001),9.85532,37.4379
Oromia,Horroo Guduru Wallaggaa,Habaaboo Guduru,Darriboo,S0408060172,POINT (37.6011 9.79989),9.79989,37.6011
Oromia,Horroo Guduru Wallaggaa,Habaaboo Guduru,Alem kootichaa,S0408060062,POINT (37.5647 9.637919999999999),9.63792,37.5647
Oromia,Horroo Guduru Wallaggaa,Habaaboo Guduru,Looyyaa Diilalloo,S0408060202,POINT (37.484493 9.608995999999999),9.608996,37.484493
Oromia,Horroo Guduru Wallaggaa,Habaaboo Guduru,Daduu sadarkaa 2ffaa,S0408060223,POINT (37.533527 9.687944999999999),9.687945,37.533527
Oromia,Horroo Guduru Wallaggaa,Habaaboo Guduru,Qophaa'ina daduu,S0408060273,POINT (37.533432 9.688000000000001),9.688,37.533432
Oromia,Horroo Guduru Wallaggaa,Habaaboo Guduru,Qawoo Sadarkaa2ffaa,S0408060263,POINT (37.5538 9.823642),9.823642,37.5538
Oromia,Horroo Guduru Wallaggaa,Horroo Bulluq,Alshaayyaa Sholokoo,S0408070062,POINT (37.1751 9.6396),9.6396,37.1751
Oromia,Horroo Guduru Wallaggaa,Horroo Bulluq,Alshaayyaa Dooganoo,S0408070052,POINT (37.1774 9.693099999999999),9.6931,37.1774
Oromia,Horroo Guduru Wallaggaa,Horroo Bulluq,Abuunaa,S0408070222,POINT (37.2423 9.759130000000001),9.75913,37.2423
Oromia,Horroo Guduru Wallaggaa,Horroo Bulluq,Igguu Abbay,S0408070252,POINT (37.06636 9.592534000000001),9.592534,37.06636
Oromia,Horroo Guduru Wallaggaa,Horroo Bulluq,Rifeentii Caabir,S0408070182,POINT (37.07642 9.6575165),9.6575165,37.07642
Oromia,Horroo Guduru Wallaggaa,Horroo Bulluq,Dachaa Caabir,S0408070122,POINT (37.046402 9.662269999999999),9.66227,37.046402
Oromia,Horroo Guduru Wallaggaa,Horro,Caabiir Gabar,S0408070162,POINT (37.038692 9.734418),9.734418,37.038692
Oromia,Horroo Guduru Wallaggaa,Horroo Bulluq,Guddinaa Abuunaa,S0408070212,POINT (37.069206 9.71407),9.71407,37.069206
Oromia,Horroo Guduru Wallaggaa,Horroo Bulluq,Daraartuu Baaqelaa,S0408070322,POINT (37.066826 9.745222),9.745222,37.066826
Oromia,Horroo Guduru Wallaggaa,Horroo Bulluq,Baabbee Nagaroo,S0408070192,POINT (37.1099 9.742131000000001),9.742131,37.1099
Oromia,Horroo Guduru Wallaggaa,Horroo Bulluq,Haroo Aagaa,S0408070142,POINT (37.10841 9.717022999999999),9.717023,37.10841
Oromia,Horroo Guduru Wallaggaa,Horroo Bulluq,Silbii Laaloo,S0408070352,POINT (37.13742 9.733615),9.733615,37.13742
Oromia,Horroo Guduru Wallaggaa,Horroo Bulluq,Daaddoo Siree Budoo,S0408070152,POINT (37.146576 9.666345),9.666345,37.146576
Oromia,Horroo Guduru Wallaggaa,Horroo Bulluq,Saqalaa,S0408070012,POINT (37.19269 9.664097),9.664097,37.19269
Oromia,Horroo Guduru Wallaggaa,Horroo Bulluq,Daaddoo  Birbirsa Koromaa,S0408070362,POINT (37.138184 9.645039000000001),9.645039,37.138184
Oromia,Horroo Guduru Wallaggaa,Horroo Bulluq,Caalaa Guddannee,S0408070092,POINT (37.108288 9.673463),9.673463,37.108288
Oromia,Horroo Guduru Wallaggaa,Horroo Bulluq,Laaloo,S0408070242,POINT (37.153988 9.775155),9.775155,37.153988
Oromia,Horroo Guduru Wallaggaa,Horroo Bulluq,Haroo Aagaa,S0408070463,POINT (37.10796 9.716991),9.716991,37.10796
Oromia,Arsii,Gunaa,Diimaa Wucaalee,S0402100302,POINT (40.0218 8.405469999999999),8.40547,40.0218
Oromia,Arsii,Asakoo,RIBUU LIQQIMMEE,S0402020042,POINT (40.143 8.50117),8.50117,40.143
Oromia,Arsii,Asakoo,Biyyoo  Sad 1ffaa,S0402020072,POINT (40.0557 8.59792),8.59792,40.0557
Oromia,Arsii,Asakoo,Ribuu Katamaa,S0402020102,POINT (40.1639 8.51028),8.51028,40.1639
Oromia,Arsii,Asakoo,Caffee sad.1ffaa,S0402020272,POINT (40.0783 8.549439999999999),8.54944,40.0783
Oromia,Arsii,Asakoo,Kaarraa Fannisaa,S0402020302,POINT (40.0909 8.593220000000001),8.59322,40.0909
Oromia,Arsii,Asakoo,Jiisoo,S0402020082,POINT (40.1221 8.546250000000001),8.54625,40.1221
Oromia,Arsii,Asakoo,Qomicha,S0402020172,POINT (40.0303 8.527699999999999),8.5277,40.0303
Oromia,Arsii,Asakoo,Maraa ol,S0402020222,POINT (40.1153 8.515419999999999),8.51542,40.1153
Oromia,Arsii,Asakoo,Daanyaa Lagaa,S0402020232,POINT (39.9602 8.44858),8.44858,39.9602
Oromia,Arsii,Asakoo,Hulluuqqoo,S0402020362,POINT (40.1558 8.567069999999999),8.56707,40.1558
Oromia,Arsii,Asakoo,Sangoo  Sad1ffaa,S0402020382,POINT (39.982 8.46388),8.46388,39.982
Oromia,Arsii,Asakoo,Buttaa  Sadd1ffaa,S0402020142,POINT (40.0081 8.485099999999999),8.4851,40.0081
Oromia,Arsii,Asakoo,Baxuullee,S0402020152,POINT (40.0691 8.58085),8.58085,40.0691
Oromia,Arsii,Asakoo,Caffaa Heefaa,S0402020312,POINT (40.0908 8.471310000000001),8.47131,40.0908
Oromia,Arsii,Asakoo,KOORNII,S0402020322,POINT (40.1767 8.5215),8.5215,40.1767
Oromia,Arsii,Asakoo,Golboo Sadaka 1ffaa,S0402020332,POINT (40.1356 8.575330000000001),8.57533,40.1356
Oromia,Arsii,Asakoo,Karraa Alibaar,S0402020132,POINT (40.0045 8.43543),8.43543,40.0045
Oromia,Arsii,Asakoo,Ejersa Qixxee,S0402020122,POINT (40.0014 8.532389999999999),8.53239,40.0014
Oromia,Arsii,Asakoo,Irreessaa Sad.1Ffaa,S0402020282,POINT (40.0806 8.531470000000001),8.53147,40.0806
Oromia,Arsii,Asakoo,Hora Munyuuqii,S0402020092,POINT (39.977 8.48598),8.48598,39.977
Oromia,Arsii,Asakoo,Booydoo,S0402020032,POINT (40.049 8.49808),8.49808,40.049
Oromia,Arsii,Asakoo,Leenca Odaa,S0402020052,POINT (40.095 8.51918),8.51918,40.095
Oromia,Arsii,Asakoo,Dhibbuu Sad 1ffaa,S0402020062,POINT (40.1061 8.58347),8.58347,40.1061
Oromia,Arsii,Asakoo,Agayyuu,S0402020162,POINT (40.0468 8.5146),8.5146,40.0468
