index,random_starting_point,algorithm,ee,eei,proposed_locations,time,sigma
62,32,CMA,439288,4664,"[[11.96660304,37.74368249]
,[11.80397155,38.22584126]
,[12.39550892,35.95845466]
,[12.16788123,37.81478135]
,[10.101063,37.04616468]]",43.32829523,0.1
202,172,CMA,439288,4664,"[[11.96660304,37.74368249]
,[11.80397155,38.22584126]
,[12.39550892,35.95845466]
,[12.16788123,37.81478135]
,[10.101063,37.04616468]]",43.49402404,0.1
232,202,CMA,439288,4664,"[[11.96660304,37.74368249]
,[11.80397155,38.22584126]
,[12.39550892,35.95845466]
,[12.16788123,37.81478135]
,[10.101063,37.04616468]]",45.2214663,0.1
42,12,CMA,439288,4664,"[[11.96660304,37.74368249]
,[11.80397155,38.22584126]
,[12.39550892,35.95845466]
,[12.16788123,37.81478135]
,[10.101063,37.04616468]]",42.45365024,0.1
292,262,CMA,439288,4664,"[[11.96660304,37.74368249]
,[11.80397155,38.22584126]
,[12.39550892,35.95845466]
,[12.16788123,37.81478135]
,[10.101063,37.04616468]]",47.32233524,0.1
152,122,CMA,439288,4664,"[[11.96660304,37.74368249]
,[11.80397155,38.22584126]
,[12.39550892,35.95845466]
,[12.16788123,37.81478135]
,[10.101063,37.04616468]]",43.18244171,0.1
82,52,CMA,439288,4664,"[[11.96660304,37.74368249]
,[11.80397155,38.22584126]
,[12.39550892,35.95845466]
,[12.16788123,37.81478135]
,[10.101063,37.04616468]]",43.46455526,0.1
282,252,CMA,439288,4664,"[[11.96660304,37.74368249]
,[11.80397155,38.22584126]
,[12.39550892,35.95845466]
,[12.16788123,37.81478135]
,[10.101063,37.04616468]]",43.50413918,0.1
272,242,CMA,439288,4664,"[[11.96660304,37.74368249]
,[11.80397155,38.22584126]
,[12.39550892,35.95845466]
,[12.16788123,37.81478135]
,[10.101063,37.04616468]]",45.57872248,0.1
122,92,CMA,439288,4664,"[[11.96660304,37.74368249]
,[11.80397155,38.22584126]
,[12.39550892,35.95845466]
,[12.16788123,37.81478135]
,[10.101063,37.04616468]]",43.8992908,0.1
172,142,CMA,439288,4664,"[[11.96660304,37.74368249]
,[11.80397155,38.22584126]
,[12.39550892,35.95845466]
,[12.16788123,37.81478135]
,[10.101063,37.04616468]]",43.65135622,0.1
182,152,CMA,439288,4664,"[[11.96660304,37.74368249]
,[11.80397155,38.22584126]
,[12.39550892,35.95845466]
,[12.16788123,37.81478135]
,[10.101063,37.04616468]]",43.93781042,0.1
262,232,CMA,439288,4664,"[[11.96660304,37.74368249]
,[11.80397155,38.22584126]
,[12.39550892,35.95845466]
,[12.16788123,37.81478135]
,[10.101063,37.04616468]]",43.37955308,0.1
252,222,CMA,439288,4664,"[[11.96660304,37.74368249]
,[11.80397155,38.22584126]
,[12.39550892,35.95845466]
,[12.16788123,37.81478135]
,[10.101063,37.04616468]]",44.63986731,0.1
132,102,CMA,439288,4664,"[[11.96660304,37.74368249]
,[11.80397155,38.22584126]
,[12.39550892,35.95845466]
,[12.16788123,37.81478135]
,[10.101063,37.04616468]]",43.7271893,0.1
72,42,CMA,439288,4664,"[[11.96660304,37.74368249]
,[11.80397155,38.22584126]
,[12.39550892,35.95845466]
,[12.16788123,37.81478135]
,[10.101063,37.04616468]]",43.62520671,0.1
102,72,CMA,439288,4664,"[[11.96660304,37.74368249]
,[11.80397155,38.22584126]
,[12.39550892,35.95845466]
,[12.16788123,37.81478135]
,[10.101063,37.04616468]]",42.72756791,0.1
162,132,CMA,439288,4664,"[[11.96660304,37.74368249]
,[11.80397155,38.22584126]
,[12.39550892,35.95845466]
,[12.16788123,37.81478135]
,[10.101063,37.04616468]]",43.05520654,0.1
242,212,CMA,439288,4664,"[[11.96660304,37.74368249]
,[11.80397155,38.22584126]
,[12.39550892,35.95845466]
,[12.16788123,37.81478135]
,[10.101063,37.04616468]]",43.58856297,0.1
112,82,CMA,439288,4664,"[[11.96660304,37.74368249]
,[11.80397155,38.22584126]
,[12.39550892,35.95845466]
,[12.16788123,37.81478135]
,[10.101063,37.04616468]]",42.99014735,0.1
193,163,CMA,438867,4243,"[[12.01148572,36.91275773]
,[10.0751547,37.42898644]
,[12.14208056,38.04955795]
,[10.11612572,37.5879367,]
,[10.45439911,40.15055309]]",58.69820523,0.12
83,53,CMA,438867,4243,"[[12.01148572,36.91275773]
,[10.0751547,37.42898644]
,[12.14208056,38.04955795]
,[10.11612572,37.5879367,]
,[10.45439911,40.15055309]]",58.62357926,0.12
183,153,CMA,438867,4243,"[[12.01148572,36.91275773]
,[10.0751547,37.42898644]
,[12.14208056,38.04955795]
,[10.11612572,37.5879367,]
,[10.45439911,40.15055309]]",59.41808081,0.12
163,133,CMA,438867,4243,"[[12.01148572,36.91275773]
,[10.0751547,37.42898644]
,[12.14208056,38.04955795]
,[10.11612572,37.5879367,]
,[10.45439911,40.15055309]]",58.56191063,0.12
173,143,CMA,438867,4243,"[[12.01148572,36.91275773]
,[10.0751547,37.42898644]
,[12.14208056,38.04955795]
,[10.11612572,37.5879367,]
,[10.45439911,40.15055309]]",59.3971324,0.12
73,43,CMA,438867,4243,"[[12.01148572,36.91275773]
,[10.0751547,37.42898644]
,[12.14208056,38.04955795]
,[10.11612572,37.5879367,]
,[10.45439911,40.15055309]]",58.7133131,0.12
93,63,CMA,438867,4243,"[[12.01148572,36.91275773]
,[10.0751547,37.42898644]
,[12.14208056,38.04955795]
,[10.11612572,37.5879367,]
,[10.45439911,40.15055309]]",58.55787349,0.12
63,33,CMA,438867,4243,"[[12.01148572,36.91275773]
,[10.0751547,37.42898644]
,[12.14208056,38.04955795]
,[10.11612572,37.5879367,]
,[10.45439911,40.15055309]]",58.48067546,0.12
43,13,CMA,438867,4243,"[[12.01148572,36.91275773]
,[10.0751547,37.42898644]
,[12.14208056,38.04955795]
,[10.11612572,37.5879367,]
,[10.45439911,40.15055309]]",57.81534481,0.12
203,173,CMA,438867,4243,"[[12.01148572,36.91275773]
,[10.0751547,37.42898644]
,[12.14208056,38.04955795]
,[10.11612572,37.5879367,]
,[10.45439911,40.15055309]]",58.92646718,0.12
243,213,CMA,438867,4243,"[[12.01148572,36.91275773]
,[10.0751547,37.42898644]
,[12.14208056,38.04955795]
,[10.11612572,37.5879367,]
,[10.45439911,40.15055309]]",58.9684639,0.12
113,83,CMA,438867,4243,"[[12.01148572,36.91275773]
,[10.0751547,37.42898644]
,[12.14208056,38.04955795]
,[10.11612572,37.5879367,]
,[10.45439911,40.15055309]]",58.53411126,0.12
283,253,CMA,438867,4243,"[[12.01148572,36.91275773]
,[10.0751547,37.42898644]
,[12.14208056,38.04955795]
,[10.11612572,37.5879367,]
,[10.45439911,40.15055309]]",58.71718121,0.12
273,243,CMA,438867,4243,"[[12.01148572,36.91275773]
,[10.0751547,37.42898644]
,[12.14208056,38.04955795]
,[10.11612572,37.5879367,]
,[10.45439911,40.15055309]]",62.63050318,0.12
123,93,CMA,438867,4243,"[[12.01148572,36.91275773]
,[10.0751547,37.42898644]
,[12.14208056,38.04955795]
,[10.11612572,37.5879367,]
,[10.45439911,40.15055309]]",58.95091939,0.12
263,233,CMA,438867,4243,"[[12.01148572,36.91275773]
,[10.0751547,37.42898644]
,[12.14208056,38.04955795]
,[10.11612572,37.5879367,]
,[10.45439911,40.15055309]]",58.40660882,0.12
253,223,CMA,438867,4243,"[[12.01148572,36.91275773]
,[10.0751547,37.42898644]
,[12.14208056,38.04955795]
,[10.11612572,37.5879367,]
,[10.45439911,40.15055309]]",59.74730563,0.12
53,23,CMA,438867,4243,"[[12.01148572,36.91275773]
,[10.0751547,37.42898644]
,[12.14208056,38.04955795]
,[10.11612572,37.5879367,]
,[10.45439911,40.15055309]]",57.92742562,0.12
103,73,CMA,438867,4243,"[[12.01148572,36.91275773]
,[10.0751547,37.42898644]
,[12.14208056,38.04955795]
,[10.11612572,37.5879367,]
,[10.45439911,40.15055309]]",58.33504558,0.12
133,103,CMA,438867,4243,"[[12.01148572,36.91275773]
,[10.0751547,37.42898644]
,[12.14208056,38.04955795]
,[10.11612572,37.5879367,]
,[10.45439911,40.15055309]]",58.75929403,0.12
233,203,CMA,438867,4243,"[[12.01148572,36.91275773]
,[10.0751547,37.42898644]
,[12.14208056,38.04955795]
,[10.11612572,37.5879367,]
,[10.45439911,40.15055309]]",60.23269987,0.12
223,193,CMA,438867,4243,"[[12.01148572,36.91275773]
,[10.0751547,37.42898644]
,[12.14208056,38.04955795]
,[10.11612572,37.5879367,]
,[10.45439911,40.15055309]]",58.86798811,0.12
213,183,CMA,438867,4243,"[[12.01148572,36.91275773]
,[10.0751547,37.42898644]
,[12.14208056,38.04955795]
,[10.11612572,37.5879367,]
,[10.45439911,40.15055309]]",59.48244286,0.12
143,113,CMA,438867,4243,"[[12.01148572,36.91275773]
,[10.0751547,37.42898644]
,[12.14208056,38.04955795]
,[10.11612572,37.5879367,]
,[10.45439911,40.15055309]]",58.68636632,0.12
153,123,CMA,438867,4243,"[[12.01148572,36.91275773]
,[10.0751547,37.42898644]
,[12.14208056,38.04955795]
,[10.11612572,37.5879367,]
,[10.45439911,40.15055309]]",58.68057203,0.12
8,8,Random Search,438481,3857,"[[11.83505658,35.40679765]
,[11.45281055,38.85839712]
,[11.67063255,37.65725884]
,[9.32906987,39.33005144]
,[12.13203072,38.06505175]]",87.93585849,NA
2,2,Random Search,438445,3821,"[[10.1706919,37.95234133]
,[11.83148966,37.61235736]
,[11.6360199,37.47268191]
,[10.54840949,36.86822817]
,[10.46225423,37.72671055]]",128.6024249,NA
37,7,CMA,438170,3546,"[[10.87004206,39.74420484]
,[11.92575915,35.36717062]
,[9.0136522,37.20620485]
,[9.87471673,39.04603172]
,[11.96660071,37.74365856]]",205.7482164,0.2
38,8,CMA,438088,3464,"[[12.16092007,37.79879695]
,[8.9285893,39.36053845]
,[9.37876136,38.10988209]
,[11.61112404,37.04595163]
,[9.33433098,39.55853657]]",233.1839156,0.22
149,119,CMA,437968,3344,"[[10.21578055,39.78691615]
,[11.8175812,37.6099011,]
,[13.20230698,37.35698372]
,[8.97807697,35.43639168]
,[11.35621179,35.62054135]]",222.8135903,0.24
139,109,CMA,437968,3344,"[[10.21578055,39.78691615]
,[11.8175812,37.6099011,]
,[13.20230698,37.35698372]
,[8.97807697,35.43639168]
,[11.35621179,35.62054135]]",222.9341109,0.24
129,99,CMA,437968,3344,"[[10.21578055,39.78691615]
,[11.8175812,37.6099011,]
,[13.20230698,37.35698372]
,[8.97807697,35.43639168]
,[11.35621179,35.62054135]]",225.6510367,0.24
99,69,CMA,437968,3344,"[[10.21578055,39.78691615]
,[11.8175812,37.6099011,]
,[13.20230698,37.35698372]
,[8.97807697,35.43639168]
,[11.35621179,35.62054135]]",224.1953084,0.24
109,79,CMA,437968,3344,"[[10.21578055,39.78691615]
,[11.8175812,37.6099011,]
,[13.20230698,37.35698372]
,[8.97807697,35.43639168]
,[11.35621179,35.62054135]]",222.107501,0.24
89,59,CMA,437968,3344,"[[10.21578055,39.78691615]
,[11.8175812,37.6099011,]
,[13.20230698,37.35698372]
,[8.97807697,35.43639168]
,[11.35621179,35.62054135]]",222.8977778,0.24
199,169,CMA,437968,3344,"[[10.21578055,39.78691615]
,[11.8175812,37.6099011,]
,[13.20230698,37.35698372]
,[8.97807697,35.43639168]
,[11.35621179,35.62054135]]",223.7260942,0.24
159,129,CMA,437968,3344,"[[10.21578055,39.78691615]
,[11.8175812,37.6099011,]
,[13.20230698,37.35698372]
,[8.97807697,35.43639168]
,[11.35621179,35.62054135]]",223.2422113,0.24
219,189,CMA,437968,3344,"[[10.21578055,39.78691615]
,[11.8175812,37.6099011,]
,[13.20230698,37.35698372]
,[8.97807697,35.43639168]
,[11.35621179,35.62054135]]",224.5744357,0.24
289,259,CMA,437968,3344,"[[10.21578055,39.78691615]
,[11.8175812,37.6099011,]
,[13.20230698,37.35698372]
,[8.97807697,35.43639168]
,[11.35621179,35.62054135]]",224.7480958,0.24
279,249,CMA,437968,3344,"[[10.21578055,39.78691615]
,[11.8175812,37.6099011,]
,[13.20230698,37.35698372]
,[8.97807697,35.43639168]
,[11.35621179,35.62054135]]",230.7841353,0.24
269,239,CMA,437968,3344,"[[10.21578055,39.78691615]
,[11.8175812,37.6099011,]
,[13.20230698,37.35698372]
,[8.97807697,35.43639168]
,[11.35621179,35.62054135]]",223.4538417,0.24
259,229,CMA,437968,3344,"[[10.21578055,39.78691615]
,[11.8175812,37.6099011,]
,[13.20230698,37.35698372]
,[8.97807697,35.43639168]
,[11.35621179,35.62054135]]",224.6781168,0.24
249,219,CMA,437968,3344,"[[10.21578055,39.78691615]
,[11.8175812,37.6099011,]
,[13.20230698,37.35698372]
,[8.97807697,35.43639168]
,[11.35621179,35.62054135]]",223.8255136,0.24
79,49,CMA,437968,3344,"[[10.21578055,39.78691615]
,[11.8175812,37.6099011,]
,[13.20230698,37.35698372]
,[8.97807697,35.43639168]
,[11.35621179,35.62054135]]",222.4267051,0.24
229,199,CMA,437968,3344,"[[10.21578055,39.78691615]
,[11.8175812,37.6099011,]
,[13.20230698,37.35698372]
,[8.97807697,35.43639168]
,[11.35621179,35.62054135]]",223.5442798,0.24
39,9,CMA,437968,3344,"[[10.21578055,39.78691615]
,[11.8175812,37.6099011,]
,[13.20230698,37.35698372]
,[8.97807697,35.43639168]
,[11.35621179,35.62054135]]",260.2852466,0.24
239,209,CMA,437968,3344,"[[10.21578055,39.78691615]
,[11.8175812,37.6099011,]
,[13.20230698,37.35698372]
,[8.97807697,35.43639168]
,[11.35621179,35.62054135]]",225.6009066,0.24
49,19,CMA,437968,3344,"[[10.21578055,39.78691615]
,[11.8175812,37.6099011,]
,[13.20230698,37.35698372]
,[8.97807697,35.43639168]
,[11.35621179,35.62054135]]",221.1656034,0.24
59,29,CMA,437968,3344,"[[10.21578055,39.78691615]
,[11.8175812,37.6099011,]
,[13.20230698,37.35698372]
,[8.97807697,35.43639168]
,[11.35621179,35.62054135]]",226.4144101,0.24
169,139,CMA,437968,3344,"[[10.21578055,39.78691615]
,[11.8175812,37.6099011,]
,[13.20230698,37.35698372]
,[8.97807697,35.43639168]
,[11.35621179,35.62054135]]",223.417989,0.24
179,149,CMA,437968,3344,"[[10.21578055,39.78691615]
,[11.8175812,37.6099011,]
,[13.20230698,37.35698372]
,[8.97807697,35.43639168]
,[11.35621179,35.62054135]]",226.6937382,0.24
69,39,CMA,437968,3344,"[[10.21578055,39.78691615]
,[11.8175812,37.6099011,]
,[13.20230698,37.35698372]
,[8.97807697,35.43639168]
,[11.35621179,35.62054135]]",223.0421767,0.24
189,159,CMA,437968,3344,"[[10.21578055,39.78691615]
,[11.8175812,37.6099011,]
,[13.20230698,37.35698372]
,[8.97807697,35.43639168]
,[11.35621179,35.62054135]]",224.5031793,0.24
119,89,CMA,437968,3344,"[[10.21578055,39.78691615]
,[11.8175812,37.6099011,]
,[13.20230698,37.35698372]
,[8.97807697,35.43639168]
,[11.35621179,35.62054135]]",227.0405219,0.24
209,179,CMA,437968,3344,"[[10.21578055,39.78691615]
,[11.8175812,37.6099011,]
,[13.20230698,37.35698372]
,[8.97807697,35.43639168]
,[11.35621179,35.62054135]]",223.2990928,0.24
17,17,Random Search,437868,3244,"[[11.88223567,40.05272202]
,[12.12876182,38.03957801]
,[11.70072632,39.15648571]
,[12.59791462,36.09202811]
,[11.86586069,36.21940093]]",88.57155204,NA
22,22,Random Search,437781,3157,"[[10.62591151,38.8090961,]
,[11.02067277,40.04922707]
,[11.47685393,36.39244173]
,[12.8181922,36.05652278]
,[12.11811961,38.0333096,]]",89.56890273,NA
1,1,Random Search,437778,3154,"[[10.15836211,38.13410648]
,[11.22513638,38.66884664]
,[10.48498193,37.75675369]
,[11.66309581,37.67570941]
,[13.3931212,36.96593843]]",121.4969497,NA
14,14,Random Search,437707,3083,"[[10.72148642,37.59331231]
,[10.34775727,36.29255053]
,[13.63671099,38.62777598]
,[10.9875691,40.1669248,]
,[12.13386626,38.05826889]]",88.70426607,NA
