,index,random_starting_point,algorithm,ee,eei,proposed_locations,time,sigma
26,6,6,CMA,166433.0,3735.0,"[[ 4.51209297 38.67185476]
 [ 8.41160701 38.60336625]
 [ 6.54446471 38.67284936]
 [ 7.42639104 38.05312987]
 [ 6.59163578 38.76350942]]",331.5365266799927,3.0
27,20,20,CMA,166403.0,3705.0,"[[ 6.49678    39.05286317]
 [ 6.89406628 37.60491332]
 [ 4.54433931 35.61442709]
 [ 6.99592174 37.64297114]
 [ 6.59163392 38.76353595]]",224.13937091827393,2.5
28,64,64,CMA,166401.0,3703.0,"[[ 5.80392602 38.68040428]
 [ 6.52942427 38.70614207]
 [ 8.32705112 37.56828136]
 [ 6.15100857 38.20154476]
 [ 4.63010279 34.85678901]]",29.31804847717285,1.5
29,7,7,CMA,166365.0,3667.0,"[[ 5.27685059 35.33872761]
 [ 6.63832417 38.73031393]
 [ 6.59158754 38.76380696]
 [ 6.24043289 39.0259351 ]
 [ 6.2522695  38.94923663]]",364.8067491054535,3.25
30,76,76,CMA,166292.0,3594.0,"[[ 6.46848082 38.80929245]
 [ 6.58021586 38.96439587]
 [ 6.19708866 35.75401275]
 [ 4.69852378 36.37066499]
 [ 6.15096444 38.20158742]]",217.21783828735352,2.5
31,51,51,CMA,166272.0,3574.0,"[[ 8.14529317 36.9333146 ]
 [ 8.41121682 38.60346902]
 [ 8.03438834 38.51707072]
 [ 6.99583072 37.64315626]
 [ 6.59162767 38.76352136]]",156.8476059436798,2.25
32,33,33,CMA,166260.0,3562.0,"[[ 4.83523507 36.0942178 ]
 [ 6.59162966 38.76369411]
 [ 6.56451629 38.32709435]
 [ 8.3129035  38.5367659 ]
 [ 7.40576694 38.04675157]]",72.03327107429504,1.75
33,36,36,CMA,166243.0,3545.0,"[[ 8.42888063 38.54962919]
 [ 7.02137055 37.84585088]
 [ 7.14742421 37.64472851]
 [ 6.99615008 37.64284341]
 [ 6.38300818 38.874844  ]]",212.69242930412292,2.5
34,79,79,CMA,166228.0,3530.0,"[[ 8.33387897 38.5405115 ]
 [ 7.67117483 37.64578195]
 [ 6.66103604 37.73807428]
 [ 6.46895647 38.80909807]
 [ 6.99604275 37.64305029]]",409.1158573627472,3.25
35,78,78,CMA,166227.0,3529.0,"[[ 6.16018974 38.19362271]
 [ 6.53410655 38.7247553 ]
 [ 6.88453963 38.33164128]
 [ 6.19605493 35.08462018]
 [ 8.43955172 35.9850876 ]]",322.823361158371,3.0
36,53,53,CMA,166223.0,3525.0,"[[ 8.41116242 38.60359807]
 [ 7.65853571 37.96091016]
 [ 7.27033308 34.88169074]
 [ 6.59151231 38.76377973]
 [ 7.02079981 37.84647472]]",250.26225566864014,2.75
