index,random_starting_point,algorithm,ee,eei,proposed_locations,time,sigma
1,1,Random Search,443134,8510,"[[13.30406011 36.28360213]
 [11.48391924 36.56688767]
 [11.28587848 35.31280186]
 [13.45663992 36.92969987]
 [13.40502029 38.54517255]]",130.5361807,NA
17,17,Random Search,442658,8034,"[[13.43883223 37.86727457]
 [11.84883681 36.1409584 ]
 [ 8.86496693 35.94148482]
 [10.93244204 37.91778937]
 [ 8.73339369 35.37133148]]",131.5151947,NA
25,25,Random Search,442575,7951,"[[11.38358874 39.87384235]
 [ 9.61087708 39.33243419]
 [11.99032221 40.10695694]
 [10.81493548 35.48809682]
 [ 9.65552008 37.70363128]]",127.8336174,NA
22,22,Random Search,442463,7839,"[[12.62930342 35.77054938]
 [ 9.36482068 36.95775846]
 [ 9.28674012 38.84394117]
 [ 9.60022547 37.15753924]
 [11.50215677 38.94696023]]",132.9086678,NA
15,15,Random Search,442410,7786,"[[11.9558437  35.72915392]
 [11.30701912 36.29253306]
 [12.34009955 39.65319222]
 [10.22461497 39.59543184]
 [10.71881184 37.93288863]]",133.3347154,NA
8,8,Random Search,442386,7762,"[[13.62711844 39.8468269 ]
 [12.21134258 37.62111853]
 [11.45195978 37.86550975]
 [ 9.86553482 36.38152154]
 [10.1835708  39.35013424]]",161.4582014,NA
220,190,CMA,442321,7697,"[ 9.85524409 35.47967594 12.37713715 36.7989406  12.57706779 36.88390725
 12.27138837 38.575732   12.76682821 38.96000917]",67.92619395,0.01
227,197,CMA,442321,7697,"[10.1386514  35.44259339 12.92733348 36.6157015  12.30014506 36.64814503
 12.12287186 38.20603875 12.94394028 39.05918848]",587.8823929,0.2
226,196,CMA,442321,7697,"[10.10881905 35.44633462 12.86941808 36.63444263 12.32929482 36.67209113
 12.13850518 38.24672506 12.9252969  39.04894118]",519.5021677,0.18
225,195,CMA,442321,7697,"[10.0789867  35.45011401 12.81150268 36.65331251 12.35844458 36.69624216
 12.1541385  38.28699461 12.90665353 39.03864856]",447.9649427,0.16
224,194,CMA,442321,7697,"[10.04915435 35.45393156 12.75358727 36.67231114 12.38759434 36.72059813
 12.16977181 38.3268474  12.88801015 39.02831062]",378.6628656,0.14
