level_0,index,random_starting_point,algorithm,ee,eei,proposed_locations,time,sigma
88,,18,CMA,451531,16907,"[[10.86714474 39.74554041]
 [11.41336136 37.14738048]
 [12.69039308 37.68787487]
 [13.69259069 36.52627784]
 [11.81614815 37.6086692 ]
 [13.09674597 36.23918795]
 [10.92273199 35.84851092]
 [ 8.71695711 36.27964534]
 [ 9.99008183 38.98019861]
 [ 9.52459243 39.70024214]]",597.8498659,0.2
58,,28,CMA,451531,16907,"[[10.86714474 39.74554041]
 [11.41336136 37.14738048]
 [12.69039308 37.68787487]
 [13.69259069 36.52627784]
 [11.81614815 37.6086692 ]
 [13.09674597 36.23918795]
 [10.92273199 35.84851092]
 [ 8.71695711 36.27964534]
 [ 9.99008183 38.98019861]
 [ 9.52459243 39.70024214]]",675.7912974,0.2
48,,18,CMA,451531,16907,"[[10.86714474 39.74554041]
 [11.41336136 37.14738048]
 [12.69039308 37.68787487]
 [13.69259069 36.52627784]
 [11.81614815 37.6086692 ]
 [13.09674597 36.23918795]
 [10.92273199 35.84851092]
 [ 8.71695711 36.27964534]
 [ 9.99008183 38.98019861]
 [ 9.52459243 39.70024214]]",597.8498659,0.2
78,,8,CMA,451531,16907,"[[10.86714474 39.74554041]
 [11.41336136 37.14738048]
 [12.69039308 37.68787487]
 [13.69259069 36.52627784]
 [11.81614815 37.6086692 ]
 [13.09674597 36.23918795]
 [10.92273199 35.84851092]
 [ 8.71695711 36.27964534]
 [ 9.99008183 38.98019861]
 [ 9.52459243 39.70024214]]",624.8848817,0.2
38,,8,CMA,451531,16907,"[[10.86714474 39.74554041]
 [11.41336136 37.14738048]
 [12.69039308 37.68787487]
 [13.69259069 36.52627784]
 [11.81614815 37.6086692 ]
 [13.09674597 36.23918795]
 [10.92273199 35.84851092]
 [ 8.71695711 36.27964534]
 [ 9.99008183 38.98019861]
 [ 9.52459243 39.70024214]]",624.8848817,0.2
51,,21,CMA,451322,16698,"[[12.35980085 35.58081091]
 [10.42922803 38.98204344]
 [13.38418642 38.14783978]
 [11.68802821 38.79629103]
 [12.14181059 38.04757819]
 [11.20636063 35.83711492]
 [10.77455198 36.95622012]
 [ 9.5245999  36.00179197]
 [ 8.71508578 36.60543826]
 [10.73941979 36.99671875]]",217.9990942,0.1
61,,31,CMA,451322,16698,"[[12.35980085 35.58081091]
 [10.42922803 38.98204344]
 [13.38418642 38.14783978]
 [11.68802821 38.79629103]
 [12.14181059 38.04757819]
 [11.20636063 35.83711492]
 [10.77455198 36.95622012]
 [ 9.5245999  36.00179197]
 [ 8.71508578 36.60543826]
 [10.73941979 36.99671875]]",230.4912877,0.1
41,,11,CMA,451322,16698,"[[12.35980085 35.58081091]
 [10.42922803 38.98204344]
 [13.38418642 38.14783978]
 [11.68802821 38.79629103]
 [12.14181059 38.04757819]
 [11.20636063 35.83711492]
 [10.77455198 36.95622012]
 [ 9.5245999  36.00179197]
 [ 8.71508578 36.60543826]
 [10.73941979 36.99671875]]",218.3302219,0.1
81,,11,CMA,451322,16698,"[[12.35980085 35.58081091]
 [10.42922803 38.98204344]
 [13.38418642 38.14783978]
 [11.68802821 38.79629103]
 [12.14181059 38.04757819]
 [11.20636063 35.83711492]
 [10.77455198 36.95622012]
 [ 9.5245999  36.00179197]
 [ 8.71508578 36.60543826]
 [10.73941979 36.99671875]]",218.3302219,0.1
91,,21,CMA,451322,16698,"[[12.35980085 35.58081091]
 [10.42922803 38.98204344]
 [13.38418642 38.14783978]
 [11.68802821 38.79629103]
 [12.14181059 38.04757819]
 [11.20636063 35.83711492]
 [10.77455198 36.95622012]
 [ 9.5245999  36.00179197]
 [ 8.71508578 36.60543826]
 [10.73941979 36.99671875]]",217.9990942,0.1
