level_0,index,random_starting_point,algorithm,ee,eei,proposed_locations,time,sigma
47,,17,CMA,445292,10668,"[[ 9.23527408 35.92668938]
 [ 9.30117323 37.63626714]
 [11.81639864 37.60851214]
 [10.75588723 36.80630315]
 [13.37244216 35.26361102]
 [ 8.79665927 39.3150094 ]
 [12.72327572 35.42577357]
 [10.2172284  39.34429449]
 [12.78599841 35.4473446 ]
 [13.75102834 39.87898005]]",460.7147827,0.15
87,,17,CMA,445292,10668,"[[ 9.23527408 35.92668938]
 [ 9.30117323 37.63626714]
 [11.81639864 37.60851214]
 [10.75588723 36.80630315]
 [13.37244216 35.26361102]
 [ 8.79665927 39.3150094 ]
 [12.72327572 35.42577357]
 [10.2172284  39.34429449]
 [12.78599841 35.4473446 ]
 [13.75102834 39.87898005]]",460.7147827,0.15
67,,37,CMA,445292,10668,"[[ 9.23527408 35.92668938]
 [ 9.30117323 37.63626714]
 [11.81639864 37.60851214]
 [10.75588723 36.80630315]
 [13.37244216 35.26361102]
 [ 8.79665927 39.3150094 ]
 [12.72327572 35.42577357]
 [10.2172284  39.34429449]
 [12.78599841 35.4473446 ]
 [13.75102834 39.87898005]]",493.686085,0.15
107,,37,CMA,445292,10668,"[[ 9.23527408 35.92668938]
 [ 9.30117323 37.63626714]
 [11.81639864 37.60851214]
 [10.75588723 36.80630315]
 [13.37244216 35.26361102]
 [ 8.79665927 39.3150094 ]
 [12.72327572 35.42577357]
 [10.2172284  39.34429449]
 [12.78599841 35.4473446 ]
 [13.75102834 39.87898005]]",493.686085,0.15
16,3,3,Random Search,444845,10221,"[[ 8.9292498  39.13165874]
 [13.41337303 38.80130749]
 [13.62056741 35.39677442]
 [10.69193066 37.02552949]
 [12.13402928 38.03243583]
 [11.32347015 37.49615735]
 [10.3910467  35.40147257]
 [12.32080546 40.17308598]
 [12.00250772 37.73236135]
 [11.76891202 39.52120152]]",222.7118175,NA
71,,1,CMA,444270,9646,"[[ 8.98913222 39.56808302]
 [12.06433675 40.05381989]
 [12.01143793 36.91262555]
 [13.11767261 35.92455754]
 [ 8.99667949 38.2071324 ]
 [12.61886651 36.70672936]
 [ 8.77693897 35.50093521]
 [10.26760814 38.93412225]
 [10.80755079 35.5790919 ]
 [11.53220159 37.00842517]]",375.6068943,0.1
31,,1,CMA,444270,9646,"[[ 8.98913222 39.56808302]
 [12.06433675 40.05381989]
 [12.01143793 36.91262555]
 [13.11767261 35.92455754]
 [ 8.99667949 38.2071324 ]
 [12.61886651 36.70672936]
 [ 8.77693897 35.50093521]
 [10.26760814 38.93412225]
 [10.80755079 35.5790919 ]
 [11.53220159 37.00842517]]",375.6068943,0.1
17,27,22,CMA,444060,9436,"[[12.88411735 35.44435956]
 [13.36072779 36.37024878]
 [13.11344535 38.42437979]
 [12.51698672 39.04042209]
 [10.64166678 39.77858903]
 [13.05920721 38.18028547]
 [ 8.73041002 37.66675754]
 [13.09457307 35.27061548]
 [10.8670582  39.74550315]
 [11.18397865 39.93141367]]",433.0112481,0.15
18,22,17,CMA,444060,9436,"[[12.88411735 35.44435956]
 [13.36072779 36.37024878]
 [13.11344535 38.42437979]
 [12.51698672 39.04042209]
 [10.64166678 39.77858903]
 [13.05920721 38.18028547]
 [ 8.73041002 37.66675754]
 [13.09457307 35.27061548]
 [10.8670582  39.74550315]
 [11.18397865 39.93141367]]",431.4770725,0.15
19,6,1,CMA,443736,9112,"[[12.8642612  39.8234135 ]
 [13.21227254 39.37091406]
 [10.76822652 38.91221148]
 [ 9.3222412  36.10633998]
 [13.04679448 35.55030446]
 [12.39111893 37.5506001 ]
 [13.08808209 39.65351568]
 [12.82335165 36.49210774]
 [11.70560189 39.13277617]
 [10.73480872 39.31109175]]",253.1222908,0.1
20,4,4,Random Search,443714,9090,"[[11.90069939 39.34384909]
 [11.740367   37.02847856]
 [10.09177282 36.95235043]
 [ 9.38545271 38.48065743]
 [12.12222227 38.03321932]
 [ 9.24744016 35.81520949]
 [10.60939791 36.17558091]
 [10.69056133 38.46685261]
 [ 9.16490995 35.61091685]
 [11.03481068 35.92438141]]",231.1680942,NA
46,,16,CMA,443650,9026,"[[12.19359195 39.18986704]
 [ 9.18836281 37.4409266 ]
 [13.20233353 37.35711299]
 [ 9.07874352 38.58545718]
 [11.96520721 36.45389665]
 [11.76971224 38.27426705]
 [10.4784785  37.72985028]
 [13.61364015 37.02398506]
 [12.49522956 38.84139557]
 [12.63588465 35.92292994]]",294.4636931,0.1
56,,26,CMA,443650,9026,"[[12.19359195 39.18986704]
 [ 9.18836281 37.4409266 ]
 [13.20233353 37.35711299]
 [ 9.07874352 38.58545718]
 [11.96520721 36.45389665]
 [11.76971224 38.27426705]
 [10.4784785  37.72985028]
 [13.61364015 37.02398506]
 [12.49522956 38.84139557]
 [12.63588465 35.92292994]]",331.5853155,0.1
96,,26,CMA,443650,9026,"[[12.19359195 39.18986704]
 [ 9.18836281 37.4409266 ]
 [13.20233353 37.35711299]
 [ 9.07874352 38.58545718]
 [11.96520721 36.45389665]
 [11.76971224 38.27426705]
 [10.4784785  37.72985028]
 [13.61364015 37.02398506]
 [12.49522956 38.84139557]
 [12.63588465 35.92292994]]",331.5853155,0.1
106,,36,CMA,443650,9026,"[[12.19359195 39.18986704]
 [ 9.18836281 37.4409266 ]
 [13.20233353 37.35711299]
 [ 9.07874352 38.58545718]
 [11.96520721 36.45389665]
 [11.76971224 38.27426705]
 [10.4784785  37.72985028]
 [13.61364015 37.02398506]
 [12.49522956 38.84139557]
 [12.63588465 35.92292994]]",317.4327431,0.1
86,,16,CMA,443650,9026,"[[12.19359195 39.18986704]
 [ 9.18836281 37.4409266 ]
 [13.20233353 37.35711299]
 [ 9.07874352 38.58545718]
 [11.96520721 36.45389665]
 [11.76971224 38.27426705]
 [10.4784785  37.72985028]
 [13.61364015 37.02398506]
 [12.49522956 38.84139557]
 [12.63588465 35.92292994]]",294.4636931,0.1
36,,6,CMA,443650,9026,"[[12.19359195 39.18986704]
 [ 9.18836281 37.4409266 ]
 [13.20233353 37.35711299]
 [ 9.07874352 38.58545718]
 [11.96520721 36.45389665]
 [11.76971224 38.27426705]
 [10.4784785  37.72985028]
 [13.61364015 37.02398506]
 [12.49522956 38.84139557]
 [12.63588465 35.92292994]]",302.1696131,0.1
76,,6,CMA,443650,9026,"[[12.19359195 39.18986704]
 [ 9.18836281 37.4409266 ]
 [13.20233353 37.35711299]
 [ 9.07874352 38.58545718]
 [11.96520721 36.45389665]
 [11.76971224 38.27426705]
 [10.4784785  37.72985028]
 [13.61364015 37.02398506]
 [12.49522956 38.84139557]
 [12.63588465 35.92292994]]",302.1696131,0.1
66,,36,CMA,443650,9026,"[[12.19359195 39.18986704]
 [ 9.18836281 37.4409266 ]
 [13.20233353 37.35711299]
 [ 9.07874352 38.58545718]
 [11.96520721 36.45389665]
 [11.76971224 38.27426705]
 [10.4784785  37.72985028]
 [13.61364015 37.02398506]
 [12.49522956 38.84139557]
 [12.63588465 35.92292994]]",317.4327431,0.1
21,1,1,Random Search,443571,8947,"[[11.96941379 36.89960466]
 [12.13655706 40.2003289 ]
 [ 8.72186217 38.87018672]
 [11.82105987 37.60950935]
 [12.10798882 37.21473679]
 [11.66715812 39.93570301]
 [10.69616533 37.4694689 ]
 [10.64637832 37.21094859]
 [ 9.64962553 35.59982884]
 [12.66660712 38.62946523]]",225.3344176,NA
23,20,15,CMA,443534,8910,"[[10.26721956 39.16198838]
 [11.04029073 38.53129078]
 [10.75136578 37.85609856]
 [ 8.92231442 38.44526847]
 [11.5607955  39.11684348]
 [ 9.30744845 38.56644732]
 [ 9.73078036 35.70608365]
 [11.33898475 36.83269828]
 [11.29425473 35.82637376]
 [10.8499767  39.52908648]]",120.7079461,0.05
22,25,20,CMA,443534,8910,"[[10.26721956 39.16198838]
 [11.04029073 38.53129078]
 [10.75136578 37.85609856]
 [ 8.92231442 38.44526847]
 [11.5607955  39.11684348]
 [ 9.30744845 38.56644732]
 [ 9.73078036 35.70608365]
 [11.33898475 36.83269828]
 [11.29425473 35.82637376]
 [10.8499767  39.52908648]]",120.8442724,0.05
40,,10,CMA,443523,8899,"[[12.54829667 35.39093156]
 [13.45700264 40.05815513]
 [13.13180118 36.75006471]
 [ 9.36894309 36.66928326]
 [11.06948885 36.89900922]
 [10.38598668 39.27737373]
 [11.09840196 38.87898954]
 [ 8.9337183  39.51697316]
 [10.59884383 36.74677789]
 [12.53893254 35.57811996]]",97.70470595,0.05
80,,10,CMA,443523,8899,"[[12.54829667 35.39093156]
 [13.45700264 40.05815513]
 [13.13180118 36.75006471]
 [ 9.36894309 36.66928326]
 [11.06948885 36.89900922]
 [10.38598668 39.27737373]
 [11.09840196 38.87898954]
 [ 8.9337183  39.51697316]
 [10.59884383 36.74677789]
 [12.53893254 35.57811996]]",97.70470595,0.05
90,,20,CMA,443523,8899,"[[12.54829667 35.39093156]
 [13.45700264 40.05815513]
 [13.13180118 36.75006471]
 [ 9.36894309 36.66928326]
 [11.06948885 36.89900922]
 [10.38598668 39.27737373]
 [11.09840196 38.87898954]
 [ 8.9337183  39.51697316]
 [10.59884383 36.74677789]
 [12.53893254 35.57811996]]",98.62819481,0.05
60,,30,CMA,443523,8899,"[[12.54829667 35.39093156]
 [13.45700264 40.05815513]
 [13.13180118 36.75006471]
 [ 9.36894309 36.66928326]
 [11.06948885 36.89900922]
 [10.38598668 39.27737373]
 [11.09840196 38.87898954]
 [ 8.9337183  39.51697316]
 [10.59884383 36.74677789]
 [12.53893254 35.57811996]]",102.5596402,0.05
50,,20,CMA,443523,8899,"[[12.54829667 35.39093156]
 [13.45700264 40.05815513]
 [13.13180118 36.75006471]
 [ 9.36894309 36.66928326]
 [11.06948885 36.89900922]
 [10.38598668 39.27737373]
 [11.09840196 38.87898954]
 [ 8.9337183  39.51697316]
 [10.59884383 36.74677789]
 [12.53893254 35.57811996]]",98.62819481,0.05
100,,30,CMA,443523,8899,"[[12.54829667 35.39093156]
 [13.45700264 40.05815513]
 [13.13180118 36.75006471]
 [ 9.36894309 36.66928326]
 [11.06948885 36.89900922]
 [10.38598668 39.27737373]
 [11.09840196 38.87898954]
 [ 8.9337183  39.51697316]
 [10.59884383 36.74677789]
 [12.53893254 35.57811996]]",102.5596402,0.05
24,0,0,Random Search,443353,8729,"[[11.23525368 39.05151221]
 [11.09092862 36.56430505]
 [10.66448325 37.38775138]
 [11.13560237 36.81255836]
 [12.13798635 38.05962667]
 [ 9.55607351 39.29284509]
 [12.68456503 39.19670872]
 [10.77889865 39.95497807]
 [ 9.48507554 37.57447525]
 [10.87053009 36.02083907]]",218.3285925,NA
25,2,2,Random Search,443098,8474,"[[10.9268454  37.22327606]
 [ 9.95665151 37.28981267]
 [12.35002566 37.24524583]
 [11.17633244 37.45735316]
 [11.23576225 36.51926091]
 [13.37886338 39.17435315]
 [11.17690354 35.46249457]
 [ 9.83362696 36.06418625]
 [10.56255512 38.60135143]
 [10.9696019  38.85117595]]",229.1904614,NA
26,15,10,CMA,442926,8302,"[[10.47507332 40.01272196]
 [ 9.04280929 38.78867676]
 [10.49503962 38.36790007]
 [12.66958694 37.88619974]
 [10.76736534 38.45886143]
 [ 9.83113545 38.85589143]
 [11.41337922 37.14736762]
 [13.29233404 38.84277462]
 [12.02919422 36.11226861]
 [13.36411226 35.75458463]]",126.6882844,0.05
43,,13,CMA,442351,7727,"[[12.95172953 36.15962931]
 [12.57571742 35.26315635]
 [ 9.49074577 38.07690502]
 [ 9.57351258 40.18530584]
 [11.73637316 39.53610495]
 [13.38418552 38.14813025]
 [13.76273294 37.85332391]
 [10.36326755 36.32394778]
 [13.40332173 38.3618208 ]
 [11.237645   39.84588202]]",507.0431912,0.2
103,,33,CMA,442351,7727,"[[12.95172953 36.15962931]
 [12.57571742 35.26315635]
 [ 9.49074577 38.07690502]
 [ 9.57351258 40.18530584]
 [11.73637316 39.53610495]
 [13.38418552 38.14813025]
 [13.76273294 37.85332391]
 [10.36326755 36.32394778]
 [13.40332173 38.3618208 ]
 [11.237645   39.84588202]]",546.6105673,0.2
63,,33,CMA,442351,7727,"[[12.95172953 36.15962931]
 [12.57571742 35.26315635]
 [ 9.49074577 38.07690502]
 [ 9.57351258 40.18530584]
 [11.73637316 39.53610495]
 [13.38418552 38.14813025]
 [13.76273294 37.85332391]
 [10.36326755 36.32394778]
 [13.40332173 38.3618208 ]
 [11.237645   39.84588202]]",546.6105673,0.2
93,,23,CMA,442351,7727,"[[12.95172953 36.15962931]
 [12.57571742 35.26315635]
 [ 9.49074577 38.07690502]
 [ 9.57351258 40.18530584]
 [11.73637316 39.53610495]
 [13.38418552 38.14813025]
 [13.76273294 37.85332391]
 [10.36326755 36.32394778]
 [13.40332173 38.3618208 ]
 [11.237645   39.84588202]]",523.3409233,0.2
53,,23,CMA,442351,7727,"[[12.95172953 36.15962931]
 [12.57571742 35.26315635]
 [ 9.49074577 38.07690502]
 [ 9.57351258 40.18530584]
 [11.73637316 39.53610495]
 [13.38418552 38.14813025]
 [13.76273294 37.85332391]
 [10.36326755 36.32394778]
 [13.40332173 38.3618208 ]
 [11.237645   39.84588202]]",523.3409233,0.2
83,,13,CMA,442351,7727,"[[12.95172953 36.15962931]
 [12.57571742 35.26315635]
 [ 9.49074577 38.07690502]
 [ 9.57351258 40.18530584]
 [11.73637316 39.53610495]
 [13.38418552 38.14813025]
 [13.76273294 37.85332391]
 [10.36326755 36.32394778]
 [13.40332173 38.3618208 ]
 [11.237645   39.84588202]]",507.0431912,0.2
27,8,3,CMA,442063,7439,"[[10.75589147 36.80632579]
 [10.97158958 35.89200632]
 [12.62440891 35.26813191]
 [10.75535286 35.75002706]
 [10.10496805 36.76220211]
 [ 8.73145282 37.07300532]
 [ 8.92779825 39.35906116]
 [ 8.82807118 38.12469035]
 [ 9.24041802 36.99863076]
 [11.17193713 37.43009101]]",616.0010493,0.2
28,18,13,CMA,440732,6108,"[[13.76072289 39.32001888]
 [12.95825433 36.83561678]
 [10.223659   35.79504149]
 [10.96855975 39.26171981]
 [13.7621594  39.74017509]
 [ 8.79390511 35.94481056]
 [ 8.93014084 36.38723416]
 [11.80406381 38.22584592]
 [10.92019072 35.85443401]
 [10.41197105 39.6835005 ]]",568.7196875,0.2
29,10,5,CMA,440716,6092,"[[ 9.03591785 36.89788358]
 [13.64002273 36.52888446]
 [11.00912502 38.3079324 ]
 [11.97274885 36.66300857]
 [11.48785077 35.78117123]
 [ 9.58352669 38.086762  ]
 [10.43085533 38.98168106]
 [10.19095001 39.6035915 ]
 [13.0919194  38.7407071 ]
 [12.51740244 39.03997968]]",124.4460652,0.05
70,,0,CMA,437742,3118,"[[13.42338356 39.87553058]
 [ 8.97787203 38.47334302]
 [10.47992458 37.73002228]
 [ 8.73565588 37.2597612 ]
 [13.61796828 39.64869201]
 [ 9.99717238 37.07837393]
 [13.40357282 38.36189311]
 [ 9.59400077 37.82911374]
 [ 9.38766944 38.79899047]
 [13.60214907 35.83205231]]",181.8174217,0.05
30,,0,CMA,437742,3118,"[[13.42338356 39.87553058]
 [ 8.97787203 38.47334302]
 [10.47992458 37.73002228]
 [ 8.73565588 37.2597612 ]
 [13.61796828 39.64869201]
 [ 9.99717238 37.07837393]
 [13.40357282 38.36189311]
 [ 9.59400077 37.82911374]
 [ 9.38766944 38.79899047]
 [13.60214907 35.83205231]]",181.8174217,0.05
