index,random_starting_point,algorithm,ee,eei,proposed_locations,time,sigma
6,6,CMA,167408,4710,"[[ 7.55851055 37.77536658]
 [ 7.43888674 37.61491968]
 [ 6.71542792 37.75950746]
 [ 6.54567687 38.67349652]
 [ 7.02697122 37.97075256]]",130.9423838,2.5
3,3,CMA,167274,4576,"[[ 7.29282821 36.18836743]
 [ 6.25335008 38.94855224]
 [ 6.89329583 38.29483209]
 [ 6.59163077 38.76352166]
 [ 7.17593085 37.95415284]]",67.91142702,1
33,33,CMA,166500,3802,"[[ 6.47494727 38.4228049 ]
 [ 6.59163153 38.76352823]
 [ 8.02599394 35.14501856]
 [ 7.43852034 37.61534156]
 [ 7.32307523 37.14706881]]",113.046808,2.5
15,15,CMA,166500,3802,"[[ 6.47494727 38.4228049 ]
 [ 6.59163153 38.76352823]
 [ 8.02599394 35.14501856]
 [ 7.43852034 37.61534156]
 [ 7.32307523 37.14706881]]",142.8211515,2.5
78,78,CMA,166500,3802,"[[ 6.47494727 38.4228049 ]
 [ 6.59163153 38.76352823]
 [ 8.02599394 35.14501856]
 [ 7.43852034 37.61534156]
 [ 7.32307523 37.14706881]]",114.469883,2.5
24,24,CMA,166500,3802,"[[ 6.47494727 38.4228049 ]
 [ 6.59163153 38.76352823]
 [ 8.02599394 35.14501856]
 [ 7.43852034 37.61534156]
 [ 7.32307523 37.14706881]]",114.0719736,2.5
69,69,CMA,166500,3802,"[[ 6.47494727 38.4228049 ]
 [ 6.59163153 38.76352823]
 [ 8.02599394 35.14501856]
 [ 7.43852034 37.61534156]
 [ 7.32307523 37.14706881]]",112.9983945,2.5
42,42,CMA,166500,3802,"[[ 6.47494727 38.4228049 ]
 [ 6.59163153 38.76352823]
 [ 8.02599394 35.14501856]
 [ 7.43852034 37.61534156]
 [ 7.32307523 37.14706881]]",113.5092697,2.5
60,60,CMA,166500,3802,"[[ 6.47494727 38.4228049 ]
 [ 6.59163153 38.76352823]
 [ 8.02599394 35.14501856]
 [ 7.43852034 37.61534156]
 [ 7.32307523 37.14706881]]",114.2364912,2.5
87,87,CMA,166500,3802,"[[ 6.47494727 38.4228049 ]
 [ 6.59163153 38.76352823]
 [ 8.02599394 35.14501856]
 [ 7.43852034 37.61534156]
 [ 7.32307523 37.14706881]]",116.5605798,2.5
51,51,CMA,166500,3802,"[[ 6.47494727 38.4228049 ]
 [ 6.59163153 38.76352823]
 [ 8.02599394 35.14501856]
 [ 7.43852034 37.61534156]
 [ 7.32307523 37.14706881]]",114.1649005,2.5
7,7,CMA,166400,3702,"[[ 8.0339003  38.51742792]
 [ 7.17539143 37.95380408]
 [ 8.32664614 37.56818331]
 [ 6.59153432 38.76357426]
 [ 7.79484867 35.5830565 ]]",153.8139524,3
22,22,CMA,166201,3503,"[[ 6.61555827 34.91874625]
 [ 6.5293005  38.70571389]
 [ 6.59163643 38.7637036 ]
 [ 4.52427479 35.26527418]
 [ 7.17673686 37.95451883]]",65.64223933,1.5
85,85,CMA,166201,3503,"[[ 6.61555827 34.91874625]
 [ 6.5293005  38.70571389]
 [ 6.59163643 38.7637036 ]
 [ 4.52427479 35.26527418]
 [ 7.17673686 37.95451883]]",64.94531155,1.5
49,49,CMA,166201,3503,"[[ 6.61555827 34.91874625]
 [ 6.5293005  38.70571389]
 [ 6.59163643 38.7637036 ]
 [ 4.52427479 35.26527418]
 [ 7.17673686 37.95451883]]",65.0620563,1.5
40,40,CMA,166201,3503,"[[ 6.61555827 34.91874625]
 [ 6.5293005  38.70571389]
 [ 6.59163643 38.7637036 ]
 [ 4.52427479 35.26527418]
 [ 7.17673686 37.95451883]]",63.57738185,1.5
31,31,CMA,166201,3503,"[[ 6.61555827 34.91874625]
 [ 6.5293005  38.70571389]
 [ 6.59163643 38.7637036 ]
 [ 4.52427479 35.26527418]
 [ 7.17673686 37.95451883]]",64.37702394,1.5
58,58,CMA,166201,3503,"[[ 6.61555827 34.91874625]
 [ 6.5293005  38.70571389]
 [ 6.59163643 38.7637036 ]
 [ 4.52427479 35.26527418]
 [ 7.17673686 37.95451883]]",64.70127034,1.5
67,67,CMA,166201,3503,"[[ 6.61555827 34.91874625]
 [ 6.5293005  38.70571389]
 [ 6.59163643 38.7637036 ]
 [ 4.52427479 35.26527418]
 [ 7.17673686 37.95451883]]",63.53744674,1.5
76,76,CMA,166201,3503,"[[ 6.61555827 34.91874625]
 [ 6.5293005  38.70571389]
 [ 6.59163643 38.7637036 ]
 [ 4.52427479 35.26527418]
 [ 7.17673686 37.95451883]]",64.43183565,1.5
13,13,CMA,166201,3503,"[[ 6.61555827 34.91874625]
 [ 6.5293005  38.70571389]
 [ 6.59163643 38.7637036 ]
 [ 4.52427479 35.26527418]
 [ 7.17673686 37.95451883]]",67.74786091,1.5
52,52,CMA,166114,3416,"[[ 6.59163892 38.76352955]
 [ 6.10732946 35.28672052]
 [ 6.53334402 38.70494398]
 [ 6.46837911 38.80873274]
 [ 4.73345813 35.92202732]]",137.7746155,3
43,43,CMA,166114,3416,"[[ 6.59163892 38.76352955]
 [ 6.10732946 35.28672052]
 [ 6.53334402 38.70494398]
 [ 6.46837911 38.80873274]
 [ 4.73345813 35.92202732]]",137.7418971,3
61,61,CMA,166114,3416,"[[ 6.59163892 38.76352955]
 [ 6.10732946 35.28672052]
 [ 6.53334402 38.70494398]
 [ 6.46837911 38.80873274]
 [ 4.73345813 35.92202732]]",136.7504575,3
70,70,CMA,166114,3416,"[[ 6.59163892 38.76352955]
 [ 6.10732946 35.28672052]
 [ 6.53334402 38.70494398]
 [ 6.46837911 38.80873274]
 [ 4.73345813 35.92202732]]",137.2152112,3
34,34,CMA,166114,3416,"[[ 6.59163892 38.76352955]
 [ 6.10732946 35.28672052]
 [ 6.53334402 38.70494398]
 [ 6.46837911 38.80873274]
 [ 4.73345813 35.92202732]]",136.0916483,3
79,79,CMA,166114,3416,"[[ 6.59163892 38.76352955]
 [ 6.10732946 35.28672052]
 [ 6.53334402 38.70494398]
 [ 6.46837911 38.80873274]
 [ 4.73345813 35.92202732]]",136.9894612,3
88,88,CMA,166114,3416,"[[ 6.59163892 38.76352955]
 [ 6.10732946 35.28672052]
 [ 6.53334402 38.70494398]
 [ 6.46837911 38.80873274]
 [ 4.73345813 35.92202732]]",140.9908094,3
25,25,CMA,166114,3416,"[[ 6.59163892 38.76352955]
 [ 6.10732946 35.28672052]
 [ 6.53334402 38.70494398]
 [ 6.46837911 38.80873274]
 [ 4.73345813 35.92202732]]",137.0060649,3
16,16,CMA,166114,3416,"[[ 6.59163892 38.76352955]
 [ 6.10732946 35.28672052]
 [ 6.53334402 38.70494398]
 [ 6.46837911 38.80873274]
 [ 4.73345813 35.92202732]]",169.7048459,3
74,74,CMA,165599,2901,"[[ 8.17763075 38.46779001]
 [ 6.25149041 38.94967623]
 [ 6.82301133 35.24618262]
 [ 6.59175534 38.76364093]
 [ 6.3974972  39.07712857]]",34.11592603,0.8
56,56,CMA,165599,2901,"[[ 8.17763075 38.46779001]
 [ 6.25149041 38.94967623]
 [ 6.82301133 35.24618262]
 [ 6.59175534 38.76364093]
 [ 6.3974972  39.07712857]]",33.78066874,0.8
29,29,CMA,165599,2901,"[[ 8.17763075 38.46779001]
 [ 6.25149041 38.94967623]
 [ 6.82301133 35.24618262]
 [ 6.59175534 38.76364093]
 [ 6.3974972  39.07712857]]",33.18290138,0.8
20,20,CMA,165599,2901,"[[ 8.17763075 38.46779001]
 [ 6.25149041 38.94967623]
 [ 6.82301133 35.24618262]
 [ 6.59175534 38.76364093]
 [ 6.3974972  39.07712857]]",33.47497272,0.8
65,65,CMA,165599,2901,"[[ 8.17763075 38.46779001]
 [ 6.25149041 38.94967623]
 [ 6.82301133 35.24618262]
 [ 6.59175534 38.76364093]
 [ 6.3974972  39.07712857]]",33.17202568,0.8
83,83,CMA,165599,2901,"[[ 8.17763075 38.46779001]
 [ 6.25149041 38.94967623]
 [ 6.82301133 35.24618262]
 [ 6.59175534 38.76364093]
 [ 6.3974972  39.07712857]]",33.26072216,0.8
11,11,CMA,165599,2901,"[[ 8.17763075 38.46779001]
 [ 6.25149041 38.94967623]
 [ 6.82301133 35.24618262]
 [ 6.59175534 38.76364093]
 [ 6.3974972  39.07712857]]",33.16647005,0.8
47,47,CMA,165599,2901,"[[ 8.17763075 38.46779001]
 [ 6.25149041 38.94967623]
 [ 6.82301133 35.24618262]
 [ 6.59175534 38.76364093]
 [ 6.3974972  39.07712857]]",34.12528872,0.8
38,38,CMA,165599,2901,"[[ 8.17763075 38.46779001]
 [ 6.25149041 38.94967623]
 [ 6.82301133 35.24618262]
 [ 6.59175534 38.76364093]
 [ 6.3974972  39.07712857]]",32.6416347,0.8
8,8,CMA,165535,2837,"[[ 6.89273114 38.29480562]
 [ 5.93044376 35.1485448 ]
 [ 6.59176329 38.7636318 ]
 [ 5.06764744 36.30341015]
 [ 8.33576522 38.53932339]]",192.5186117,3.5
5,5,CMA,165524,2826,"[[ 6.22391516 36.31947148]
 [ 7.46962065 37.63243901]
 [ 6.43218725 38.95850781]
 [ 6.58442183 38.76596697]
 [ 4.66065607 36.04180957]]",110.8538244,2
84,84,CMA,165509,2811,"[[ 7.71715381 38.79256978]
 [ 6.71624222 37.75886975]
 [ 8.43043059 38.54973892]
 [ 7.81741735 36.20786682]
 [ 7.43852161 37.61535295]]",48.88645315,1
